id,dish_name,description,cuisine,ingredient_text,instruction_text,ingredient_count,main_ingredient_count,search_ingredient_count,total_weight_g
76214,火锅小料凉拌茄子,"忽然想吃火锅，因为疫情家里实在是没有什么可涮的材料。火锅小料熟悉的味道和茄子绵软的口感居然有吃肉肉的感觉。

凉拌茄子传统做法：
茄子煮熟，撕开，蒜蓉，酱油，麻油，一丁点儿糖。夏季必备的美味。

美食作家王刚的凉拌茄子做法：
https://www.xiachufang.com/recipe/104062011/",,2个茄子，1束香菜，半汤勺/7.5毫升沙茶酱，1汤勺/15毫升李锦记财神蚝油，2汤勺/30毫升李锦记蒸鱼豉油，3瓣蒜蓉，半茶勺/2.5毫升糖，2汤勺/30毫升麻油，3汤勺/45毫升红油,"1. 材料全家福👪。
2. 沙茶酱味道差别很大，尽量选广东老厂牌。
3. 茄子切段蒸10分钟。
4. 蒸好的茄子用一根平头筷子应该很容易就可以戳穿。
5. 茄子切/撕开码好。小料除了香菜以外拌匀浇在茄子上面。
6. 放一会儿就可以吃啦。",5,2,2,515.0
76228,人工菌炒腊肉（平菇炒腊肉）,香香的，饥饿的冬日来一碗，很下饭呀～,,小半块（小半只南方吃饭碗那么大）腊肉，若干人工菌，两头蒜，四五个（有新鲜的红椒绿椒也可，颜色更好看）干辣椒，两三根。只要葱白部分葱，盐，油,"1. 人工菌洗净，撕成条，拧干水分备用。
2. 腊肉，辣椒，蒜，切好备用
3. 锅内倒入少量油，腊肉会出油所以比平时少倒一点，油热后先下腊肉，炒至完全变色出锅，备用（出锅时尽量把油留下哦）
4. 用剩下的油继续炒，先放大蒜和辣椒，翻炒两三下，放人工菌翻炒，不停的翻炒会出水的，如果水少的话，加小半碗水，然后加葱白，炒至水快干的时候基本就熟了。然后加盐，味精翻炒。
最后加腊肉，翻炒一会就可以出锅啦。
很下饭呀～",6,1,1,65.0
76241,蒜蓉粉丝娃娃菜,娃娃菜也是可以做出高档菜，简单又好吃,,1颗，娃娃菜，1把粉丝，3勺蒸鱼豉油，半根小葱，3瓣大蒜,"1. 娃娃菜改刀切小
2. 娃娃菜焯水
3. 娃娃菜摆盘
4. 放粉丝（过水），放蒜蓉（炒过）小米辣可以发也可以不放
5. 上锅蒸，锅开后再蒸5分钟
6. 放蒸鱼豉油，撒上葱花，浇上热油",5,3,3,250.0
76257,快炒黑木耳,黑木耳不太爱凉拌，所以我家都是这样热炒。,,1碗熟黑木耳，适量姜蒜辣椒，1勺生抽，半勺米酒，适量醋，几滴香油，适量葱,"1. 黑木耳泡发后洗净用高压锅煮或蒸至熟软备用。
2. 备辅料
3. 热锅倒油，放入姜、蒜末，辣椒碎翻炒
4. 倒入黑木耳
5. 加盐适量
6. 烹生抽米酒炒匀
7. 加葱花，喜欢的话加一点醋，淋几滴香油
8. 出锅盛盘！
9. 我家经常吃的菜！
10. 喜欢的味道！",7,1,1,0.0
76287,青椒炒肉丝,,,1-2个青椒，少许姜，少许蒜，适量淀粉，适量酱油，适量盐,"1. 用生粉盐酱油提前腌制一会
2. 油热 姜蒜爆香 滑炒肉丝
3. 最后出锅放青椒 加盐 少许糖调味",6,3,3,160.0
76295,好吃到舔盘🥔土豆红烧肉盖饭,"好吃又下饭
后悔做晚了
【以下为两人份】",,半斤左右五花肉，1个土豆，半根胡萝卜，一小块姜，3瓣蒜，2勺生抽，1勺老抽，适量盐，2片香叶，1块桂皮，适量花椒，1个八角，半勺豆瓣酱，5块冰糖，5个干辣椒,"1. 提前备好食材，五花肉土豆胡萝卜切块，姜蒜切片
2. 五花肉冷水下锅，放入料酒，姜片，部分花椒去腥，大火煮开
3. 撇去血沫捞出，洗净备用
4. 不粘锅烧热，不放油，直接把五花肉下锅煸至两面金黄
5. 捞出五花肉，锅中留下的油，放入冰糖，炒出糖色
6. 放入五花肉上糖色，然后放入姜蒜片，半勺豆瓣酱，香料翻炒均匀
7. 倒入开水没过五花肉，然后放入两勺生抽，一勺老抽，加盖小火焖煮35分钟左右（注意别烧干了）
8. 开盖，放入土豆胡萝卜继续焖煮10分钟
9. 完成啦！！！超下饭！！！好吃到舔盘！！！姐妹们快动手试试吧！！！",15,5,6,488.0
76338,韭菜花甲炒竹笋,这么一道乱配的炒菜，是因为当下刚巧是竹笋韭菜花甲大量上市的季节，除了鲜美，食材还便宜。,,500克花甲，一把韭菜，三根竹笋，15克色拉油，7克黄豆酱，酌量剁椒酱，10克料酒，酌量生抽，3克糖,"1. 韭菜洗净切断，花甲加盐、香油吐沙一天后焯水，去壳取肉。
2. 竹笋切片，焯水去辣味。
3. 热油热锅，下竹笋爆炒
4. 加一勺黄豆酱，一点剁椒翻炒
5. 加花甲肉，喷少许料酒、生抽和糖。生抽的量取决于黄酱的多少和各人的口味。
6. 最后加入韭菜，翻炒至熟即可出锅。",9,2,2,830.0
76344,🦐虾仁冬瓜汤,手头有虾仁➕冬瓜，麻溜儿地做一道,,300克冬瓜，15只虾仁，葱，蒜，胡椒粉，盐，味精，生抽，老抽,"1. 冬瓜削皮，切成一块儿一块儿。虾仁儿化好。同时锅里放油，小火慢慢加热后，放入葱花，蒜。再放入虾仁儿，倒入生抽，老抽，胡椒粉，翻炒。之后加入切好的冬瓜，加热水，加盐，味精。我选择中小火慢炖十几分钟。之后这锅冬瓜虾仁汤就做好啦~
2. 在做汤之前，提前煮上米饭🍚。到时候就可以一起吃啦。",5,3,4,420.0
76373,真有一碗不含碳水的面⁉️杏鲍菇刀削面🍜,"今天我要教大家用杏鲍菇——
做一碗不含面粉、零碳水的刀削面🍜
而且比真面还要好吃💯倍～
做法用料都超简单，外加吃多少都不会胖😋
这简直是吃货们的福音啊😂
还不心动么你😉",,4个杏鲍菇，3瓣蒜，1根葱，2个红椒，适量食用油，适量黑胡椒，1勺辣椒面，2勺生抽，1勺蚝油，1勺香醋，小半碗水淀粉,"1. 先将杏鲍菇洗净后用削皮刀、削成片；
2. 热锅烧油、倒入葱花蒜末炒香；
3. 然后倒入削好的杏鲍菇、翻炒至软烂出汁；
4. 再倒入切成丝的红椒、以及图片上的配料、继续翻炒至收汁；
5. 最后再撒把葱花即可出锅装盘；",11,4,4,385.0
76375,紫苏焖鸡翅,我很喜欢紫苏，刚好在网上刷到这道客家菜，瞬间两眼发光。家里一直种有紫苏，马上到市场买了鸡翅。今天的午餐就是你了。,,一小把紫苏，6只鸡翅,"1. 我买的是全鸡翅，大家用鸡中翅也是可以的。买回来的鸡翅洗净斩件，在肉厚的地方划上两刀，方便腌制时入味。
2. 紫苏取叶洗净切碎
3. 蒜切片，和切碎的紫苏一起加入到鸡翅中
4. 加入少量盐、油、料酒拌均匀腌制30分钟
5. 30分钟后把鸡翅单独挑出来
6. 挑出鸡翅后紫苏蒜留着备用
7. 锅加热，放入鸡翅中小火煎
8. 一面煎到金黄后换另一面继续煎。喜欢金香的可以煎金黄一点哦。
9. 两面煎金黄后，把刚挑出鸡翅后的紫苏蒜加入水倒进鸡翅中。水刚好没过鸡翅即可。然后加入一匙蚝油，两匙生抽，一匙料酒，中小火焖至收汁。
10. 焖好的鸡翅就可以上碟开吃啦。好香。",2,2,3,300.0
