old_id,name,usage_count,category_major,category_sub,drop_type,reason
12238,碴子,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12242,蒙牛酸奶,3,其他,饮品,processed,饮料、酒类或乳制品不属于本版核心原生食材
12243,果实,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12244,糯米小汤圆,3,其他,烘焙与加工食品,junk,不属于指南允许的基础原生食材类别
12246,速溶纯咖啡粉,3,其他,饮品,processed,饮料、酒类或乳制品不属于本版核心原生食材
12248,脫脂牛奶,3,其他,饮品,processed,饮料、酒类或乳制品不属于本版核心原生食材
12249,绞馅,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12251,馒头料,3,其他类,其他,processed,成品、半成品或加工食品
12252,马苏奶酪,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12253,丝马苏里拉奶酪,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12254,大脑,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12256,德运牛奶,3,其他,饮品,processed,饮料、酒类或乳制品不属于本版核心原生食材
12258,植物染料,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12259,黄梅,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12260,洋梨罐头,3,水果类及其制品,水果,processed,成品、半成品或加工食品
12261,多少花生米,3,谷类及其制品,谷物,junk,数量或单位残留且无法可靠恢复原食材
12262,发达奶酪,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12263,麦芬预拌粉,3,其他,烘焙与加工食品,junk,不属于指南允许的基础原生食材类别
12264,花米饭,3,谷类及其制品,谷物,processed,成品、半成品或加工食品
12266,牛肠,3,畜肉类及其制品,畜肉,processed,成品、半成品或加工食品
12268,绿色沙拉菜,3,蔬菜类及其制品,蔬菜,processed,成品、半成品或加工食品
12269,见过程材料见过程,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12270,辅助料,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12272,白粉丝,3,谷类及其制品,谷物,processed,豆制品或淀粉制品（严格模式排除）
12276,车仔红茶包,3,其他,饮品,junk,不属于指南允许的基础原生食材类别
12278,粉一小捏,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12279,一個,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12280,杏仁豆腐,3,水果类及其制品,水果,processed,豆制品或淀粉制品（严格模式排除）
12281,少热水,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12282,辣味金枪鱼罐头,3,鱼虾蟹贝类,水产,processed,成品、半成品或加工食品
12284,莲藕粉,3,薯类淀粉及其制品,薯类,processed,成品、半成品或加工食品
12285,几朵,3,其他类,其他,junk,数量或单位残留且无法可靠恢复原食材
12288,人量通心粉,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12289,冰激淋,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12290,冰鲜奶,3,其他类,其他,processed,饮料、酒类或乳制品不属于本版核心原生食材
12291,意麵,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12292,熱水,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12293,黑咖啡液,3,其他,饮品,processed,饮料、酒类或乳制品不属于本版核心原生食材
12294,海苔黑芝麻粉,3,鱼虾蟹贝类,水产,processed,成品、半成品或加工食品
12298,玫瑰花朵,3,蔬菜类及其制品,蔬菜,seasoning,调味料不进入基础原生食材表
12299,蛋糕胚原料,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12300,外食,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
