id,name,ingredient_type,core_ingredient_id,category,subcategory,is_core_raw,is_edible,review_status,usage_count,reason
1647,冰梅酱,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1648,冰糖,seasoning,,扩展食材,seasoning,0,1,verified,333,调味料
1649,冰糖/白砂糖,composite,,扩展食材,composite,0,1,review,1,疑似复合名称，组成未完全确认
1650,冰糖/白糖,composite,,扩展食材,composite,0,1,review,2,疑似复合名称，组成未完全确认
1651,冰糖/砂糖,composite,,扩展食材,composite,0,1,review,1,疑似复合名称，组成未完全确认
1652,冰糖或白糖,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1653,冰糖粉,seasoning,,扩展食材,seasoning,0,1,verified,2,调味料
1654,冰糖粉或白砂糖,composite,,扩展食材,composite,0,1,review,1,疑似复合名称，组成未完全确认
1655,冰糖老抽,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1656,冰花牌梅子酱,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1657,冰花酸梅酱,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1658,冰草,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1659,冰鲜鱿鱼干辣椒辣酱番茄酱,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1660,冲菜,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1661,冷冻蔬菜,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1662,冷吃牛肉牛肉,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1663,冷水,other_food,,扩展食材,other_food,0,1,review,2,菜谱实际使用名称，待进一步规范
1664,冷米饭,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1665,冻干松茸菌,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1666,冻豆腐,processed,,扩展食材,processed,0,1,verified,22,加工、半成品、乳制品或饮品
1667,冻青虾仁,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1668,净水,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
