id,original_name,cleaned_name,changed,rules
124401,苹果拌水芹菜,苹果拌水芹菜,0,未修改
124456,东北上素〖地三鲜〗,东北上素〖地三鲜〗,0,未修改
124480,春天的味道，酥香软嫩的香椿摊鸡蛋,春天的味道,1,删除宣传后句
124484,蒜蓉蒸鸡,蒜蓉蒸鸡,0,未修改
124498,番茄牛腩煲,番茄牛腩煲,0,未修改
124499,诱人的虾潺与凤尾虾,诱人的虾潺与凤尾虾,0,未修改
124538,黄金虾仁什锦炒饭🍤好吃到爆🥗,黄金虾仁什锦炒饭好吃到爆,1,删除装饰符号
124580,豆角榄菜炒肉末,豆角榄菜炒肉末,0,未修改
124582,炒肉片系列：春笋炒肉片,炒肉片系列：春笋炒肉片,0,未修改
124587,潮汕肉饼炒韭苔,潮汕肉饼炒韭苔,0,未修改
124591,酱油鸡（鸭）,酱油鸡,1,删除括号说明
124611,夏日清爽炒莴笋丝,夏日清爽炒莴笋丝,0,未修改
124648,菠菜花生,菠菜花生,0,未修改
124689,土豆烧茄子（土豆茄子泥盖饭）,土豆烧茄子,1,删除括号说明
124692,台湾经典菜苍蝇头,台湾经典菜苍蝇头,0,未修改
124740,无油的万用番茄羊肉臊子,万用番茄羊肉臊子,1,删除营销定语
124745,重庆鸡公煲（家庭版）,重庆鸡公煲,1,删除括号说明
124770,凉拌土豆芹菜,凉拌土豆芹菜,0,未修改
124771,玉米饼,玉米饼,0,未修改
124785,简单版水煮牛肉,版水煮牛肉,1,删除营销定语
124786,湖北三鲜,湖北三鲜,0,未修改
124790,胡萝卜玉米排骨汤,胡萝卜玉米排骨汤,0,未修改
124798,酸菜肉末,酸菜肉末,0,未修改
124824,简易炒芥菜,简易炒芥菜,0,未修改
124854,素炒松茸,素炒松茸,0,未修改
124880,减肥黑全麦紫薯馒头,减肥黑全麦紫薯馒头,0,未修改
124916,番茄土豆肥牛汤,番茄土豆肥牛汤,0,未修改
124918,豇豆烧肉,豇豆烧肉,0,未修改
125006,孜然牛肉,孜然牛肉,0,未修改
125019,南瓜糙米饭,南瓜糙米饭,0,未修改
125042,葱花红烧豆腐—下饭好味道,葱花红烧豆腐—下饭好味道,0,未修改
125054,番茄丝瓜毛豆,番茄丝瓜毛豆,0,未修改
125072,蒜炒腊肠,蒜炒腊肠,0,未修改
125112,当归黑枣鸡汤,当归黑枣鸡汤,0,未修改
125174,快手白灼芥兰,白灼芥兰,1,删除营销定语
125177,水萝卜片炒肉,水萝卜片炒肉,0,未修改
125191,芹菜香干牛肉丝,芹菜香干牛肉丝,0,未修改
125194,豉油鸡（酱油鸡）,豉油鸡,1,删除括号说明
