old_id,name,usage_count,category_major,possible_candidates,sample_raw_text,sample_dish_ids,reason
448,通心粉,35,谷类及其制品,,适量通心粉 || 250g通心粉 || 50克通心粉,1121|3341|3997,可能是原生食材，但频次、命名或类别证据不足
450,海鲜,35,鱼虾蟹贝类,,半斤海鲜 || 1包小海鲜（混杂） || 海鲜，一小把一，麦德龙冷冻包装，,8788|9239|11064,名称过于宽泛或形态含义不明确，禁止猜测映射
457,番薯粉,35,薯类淀粉及其制品,,60番薯粉，淀粉，面粉均可 || 5勺番薯粉 || 番薯粉（地瓜粉）,7626|7829|19003,可能是原生食材，但频次、命名或类别证据不足
460,鸡蛋面,35,禽肉类及其制品,,少许鸡蛋面 || 鸡蛋面 || 一份鸡蛋面,898|4920|35395,可能是原生食材，但频次、命名或类别证据不足
481,肉片,33,畜肉类及其制品,,适量肉片 || （鸡肉和猪肉）肉片 || 2大片肉片,1225|3254|3664,名称过于宽泛或形态含义不明确，禁止猜测映射
489,黑白芝麻,32,坚果种子类,黑芝麻|白芝麻,少许黑白芝麻 || 30克黑白芝麻 || 70克黑白芝麻,336|7015|8743,明确包含多个独立食材；关系保守保留原文，克数不拆分
496,姜黄粉,32,蔬菜类及其制品,,姜黄粉 || 1小勺姜黄粉 || 适量姜黄粉,1135|11233|12981,可能是原生食材，但频次、命名或类别证据不足
501,蛋黄糊,32,蛋类及其制品,,蛋黄糊 || #蛋黄糊 || 3个蛋黄糊,4517|4874|5267|8354|15872|17492|20809,可能是原生食材，但频次、命名或类别证据不足
511,牛肉汤,31,畜肉类及其制品,,牛肉汤 || 200毫升牛肉汤 || 适量牛肉汤,1869|8395|25552|36595,可能是原生食材，但频次、命名或类别证据不足
523,薯片,31,薯类淀粉及其制品,薯,两袋袋装薯片 || 13克薯片 || 12片薯片,2676|5397|12007,形态描述存在，但原始食材无法确定
525,牛叶,31,畜肉类及其制品,,1/2小勺牛至叶(C) || 一勺牛至叶 || 少许牛至叶,10367|15362|22885,名称过于宽泛或形态含义不明确，禁止猜测映射
526,绿豆粉,31,干豆类及其制品,,1杯（1次性杯子，两人份）绿豆粉 || 2包绿豆粉 || 100克绿豆粉,2469|9238|13597,可能是原生食材，但频次、命名或类别证据不足
527,肉丁,30,畜肉类及其制品,,250克肉丁 || 100g肉丁 || 肉丁,135|1000|1348,名称过于宽泛或形态含义不明确，禁止猜测映射
530,乌冬面,30,谷类及其制品,,2份乌冬面 || 1份乌冬面 || 一包乌冬面,2048|5416|5998,可能是原生食材，但频次、命名或类别证据不足
545,肥牛卷,29,畜肉类及其制品,,肥牛卷 || 250克新鲜肥牛卷 || 200克肥牛卷,41|991|1880|4561,可能是原生食材，但频次、命名或类别证据不足
555,菌菇,29,菌藻类,,适量菌菇 || 适量菌菇（香菇/蟹味菇/白玉菇） || 菌菇,8686|11173|11315|14124,名称过于宽泛或形态含义不明确，禁止猜测映射
565,芝麻粉,29,坚果种子类,,芝麻粉 || 适量芝麻粉 || 80克芝麻粉,20974|23457|28878,可能是原生食材，但频次、命名或类别证据不足
569,各种坚果,29,坚果种子类,,120克各种坚果 || 若干各种坚果 || 各种坚果,4106|10893|21152,名称过于宽泛或形态含义不明确，禁止猜测映射
576,猪肉糜,28,畜肉类及其制品,,100g猪肉糜 || 40克猪肉糜 || 180克猪肉糜,2042|2163|3158,名称过于宽泛或形态含义不明确，禁止猜测映射
590,其他蔬菜,28,蔬菜类及其制品,,其他蔬菜 || 其他蔬菜可加可不加，随意 || 若干其他蔬菜,16194|21279|36708|40840,名称过于宽泛或形态含义不明确，禁止猜测映射
597,魔芋粉,28,薯类淀粉及其制品,,30克魔芋粉 || 50克魔芋粉 || 适量芋粉,4153|13183|20243,可能是原生食材，但频次、命名或类别证据不足
604,绿色蔬菜,27,蔬菜类及其制品,,少许绿色蔬菜（黄瓜、生菜都行） || 1小把绿色蔬菜 || 绿色蔬菜,10896|25698|48974,名称过于宽泛或形态含义不明确，禁止猜测映射
613,牛肉粉,27,畜肉类及其制品,,牛肉粉 || 5克牛肉粉 || 1小勺牛肉粉,5338|6648|8220,可能是原生食材，但频次、命名或类别证据不足
620,青椒红椒,27,蔬菜类及其制品,青椒|红椒,适量青椒红椒 || 切丝青椒红椒 || 3粒青椒红椒,10466|16743|21017|24062,明确包含多个独立食材；关系保守保留原文，克数不拆分
622,鲜面,27,谷类及其制品,,400克鲜面 || 2-3两鲜面（粗细适中） || 适量鲜面,3036|122269|141682,可能是原生食材，但频次、命名或类别证据不足
661,黑麦粉,25,谷类及其制品,,100克黑麦粉 || 300g黑麦粉 || 克黑麦粉    38,682|786|1427,可能是原生食材，但频次、命名或类别证据不足
663,椰丝,25,其他类,椰,100克椰丝 || 30克椰丝 || 35g椰丝,1030|3140|3509|4085,形态描述存在，但原始食材无法确定
676,燕麦粉,25,谷类及其制品,,60g燕麦粉 || 35g燕麦粉 || 100克燕麦粉,10315|23976|25543,可能是原生食材，但频次、命名或类别证据不足
689,杂粮,25,其他类,,50克杂粮(果脯、坚果) || 克杂粮 || 小半碗杂粮,5950|6881|8851,名称过于宽泛或形态含义不明确，禁止猜测映射
693,紫薯馅,25,薯类淀粉及其制品,,紫薯馅（可选） || 200克紫薯馅 || 紫薯馅,1159|1500|10570,可能是原生食材，但频次、命名或类别证据不足
698,鱼肉,25,鱼虾蟹贝类,,150克鱼肉 || 2斤鱼肉 || 鱼肉,5178|7049|8429,名称过于宽泛或形态含义不明确，禁止猜测映射
701,香草粉,25,蔬菜类及其制品,,适量香草粉 || 2克香草粉 || 2克（可选）香草粉,45|4732|12744,可能是原生食材，但频次、命名或类别证据不足
704,杂菜,25,蔬菜类及其制品,,100g冷冻杂菜 || 50g杂菜 || 适量杂菜,30|3262|13974,名称过于宽泛或形态含义不明确，禁止猜测映射
706,螺蛳粉,24,鱼虾蟹贝类,,1包螺蛳粉（半成品） || 一包螺蛳粉 || 1包螺蛳粉,17705|51202|61535|64406|79871,可能是原生食材，但频次、命名或类别证据不足
709,姜葱蒜,24,蔬菜类及其制品,姜|葱|蒜,姜葱蒜 || 姜葱蒜，花椒，干辣椒 || 适量姜葱蒜,1410|4229|4830|5290,明确包含多个独立食材；关系保守保留原文，克数不拆分
710,豆粉,24,干豆类及其制品,,70克大豆粉 || 适量豆粉 || 克豆粉,1520|3273|4071,可能是原生食材，但频次、命名或类别证据不足
712,芡粉,24,薯类淀粉及其制品,,1勺芡粉 || 少许芡粉 || 芡粉,2417|2448|9585,可能是原生食材，但频次、命名或类别证据不足
718,牛肉卷,24,畜肉类及其制品,,适量牛肉卷 || 一斤牛肉卷 || 4个牛肉卷,11719|18040|39637,可能是原生食材，但频次、命名或类别证据不足
