id,category_id,subcategory_id,is_core_raw,name,usage_count,category,category_major,category_sub,nutrition_match,nutrition_source_name,可食部%,水分g,能量kcal,能量kJ,蛋白质g,脂肪g,碳水化合物g,膳食纤维g,胆固醇mg,灰分g,维生素A(ugRE),胡萝卜素(ug),视黄醇(ug),硫胺素mg,核黄素mg,烟酸mg,维生素Cmg,维生素E总mg,钙mg,磷mg,钾mg,钠mg,镁mg,铁mg,锌mg,硒(ug),铜mg,锰mg,tcm_name,tcm_taste,tcm_user,tcm_not_user,tcm_side_effects,tcm_toxicity,tcm_production_place,category_source,quality
413,2,7,1,鸭梨,8,水果-仁果,水果,仁果,exact,鸭梨,82,88.3,45,187,0.2,0.2,11.1,1.1,0,0.2,1,10,0,0.03,0.03,0.20,4.0,0.31,4,14,77,1.5,5,0.9,0.10,0.28,0.19,0.06,鸭梨,,,,,,,v2_strict_rule,core
414,3,17,1,兔肉,8,畜肉-其他畜肉,畜肉,其他畜肉,exact,兔肉,100,76.2,102,432,19.7,2.2,0.9,0.0,59,1.0,26,0,26,0.11,0.10,5.80,Tr,0.42,12,165,284,45.1,15,2.0,1.30,10.93,0.12,0.04,兔肉,,一般人群均可食用。适宜老人、妇女，也是肥胖者和肝病、心血管病、糖尿病患者的理想肉食。,孕妇及经期女性、有明显阳虚症状的女子、脾胃虚寒者不宜食用。,,,,v2_strict_rule,core
415,3,15,1,牛百叶,8,畜肉-牛,畜肉,牛,exact,牛百叶（黑）,100,85.6,70,295,13.2,1.9,0.0,0.0,71,0.4,Tr,0,Tr,0.02,0.15,—,—,Tr,40,104,162,60.6,17,2.1,7.03,3.80,0.01,0.04,牛百叶,,,,,,,v2_strict_rule,core
416,3,15,1,牛蹄筋,8,畜肉-牛,畜肉,牛,exact,牛蹄筋（生）,100,62.0,151,642,34.1,0.5,2.6,0.0,—,0.8,Tr,0,Tr,0.07,0.13,0.70,Tr,—,5,150,23,153.6,10,3.2,0.81,1.70,Tr,Tr,牛蹄筋,,,,,,,v2_strict_rule,core
417,3,14,1,猪肥肉,8,畜肉-猪,畜肉,猪,exact,猪肥肉（肥，fat89g）,100,8.8,807,3319,2.4,88.6,0.0,0.0,109,0.2,29,0,29,0.08,0.05,0.90,Tr,0.24,3,18,23,19.5,2,1.0,0.69,7.78,0.05,0.03,猪肥肉,,,,,,,v2_strict_rule,core
418,4,21,1,鹌鹑,8,禽肉-其他禽肉,禽肉,其他禽肉,exact,鹌鹑,58,75.1,110,462,20.2,3.1,0.2,0.0,157,1.4,40,0,40,0.04,0.32,6.30,Tr,0.44,48,179,204,48.4,20,2.3,1.19,11.67,0.10,0.08,鹌鹑,,,,,,,v2_strict_rule,core
419,6,27,1,泥鳅,8,水产-鱼,水产,鱼,exact,泥鳅,60,76.6,96,407,17.9,2.0,1.7,0.0,136,1.8,14,0,14,0.10,0.33,6.20,Tr,0.79,299,302,282,74.8,28,2.9,2.76,35.30,0.09,0.47,泥鳅,,,,,,亚洲的中国,v2_strict_rule,core
420,6,31,1,蚬子,8,水产-其他水产,水产,其他水产,exact,河蚬［蚬子］,35,88.5,47,200,7.0,1.4,1.7,0.0,257,1.4,37,—,37,0.08,0.13,1.40,Tr,0.38,39,127,25,18.4,10,11.4,1.82,29.79,0.47,0.18,蚬子,,一般人均可食用适宜目黄、湿毒脚气、消渴、以及疔疮痈肿之人食用，适宜夏秋大热季节食用；,蚬肉性大凉，平素脾胃虚寒、肾虚滑精者忌食；也不适合寒性气管炎者食用；风寒感冒患者忌食；女子月经来潮期间和妇人产后恢复期忌食。,,,,v2_strict_rule,core
421,6,29,1,蟹黄,8,水产-蟹,水产,蟹,excluded_processed_source,蟹黄（大闸蟹，蒸）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蟹黄,,,,,,,v2_strict_rule,common
422,6,29,1,青蟹,8,水产-蟹,水产,蟹,exact,锯缘青蟹［青蟹］,43,79.8,80,336,14.6,1.6,1.7,0.0,119,2.3,202,2400,2,0.02,0.39,2.30,Tr,2.79,228,262,206,192.9,42,0.9,4.34,75.90,2.84,0.17,青蟹,,一般人群均可食用适宜跌打损伤，筋断骨碎，瘀血肿痛之人食用；适宜产妇胎盘残留，或孕妇临产阵缩无力，胎儿迟迟不下者食用，尤以蟹爪为好。,平素脾胃虚寒，大便溏薄，腹痛隐隐之人忌食；风寒感冒未愈者，或宿患风疾，包括顽固性皮肤瘙痒疾患之人忌食；月经过多、痛经、怀孕妇女忌食螃蟹，尤忌食蟹爪。,,,,v2_strict_rule,core
423,6,30,1,鲜贝,8,水产-贝,水产,贝,exact,鲜贝,100,80.3,77,328,15.7,0.5,2.5,0.0,116,1.0,Tr,—,Tr,Tr,0.21,2.50,Tr,1.46,28,166,226,120.0,31,0.7,2.08,57.35,Tr,0.33,鲜贝,,,,,,,v2_strict_rule,core
424,6,27,1,鳊鱼,8,水产-鱼,水产,鱼,exact,鳊鱼［鲂鱼、武昌鱼］,59,73.1,135,565,18.3,6.3,1.2,0.0,94,1.1,28,0,28,0.02,0.07,1.70,Tr,0.52,89,188,215,41.1,17,0.7,0.89,11.59,0.07,0.05,鳊鱼,,,,,,,v2_strict_rule,core
425,7,32,1,发菜,8,菌菇藻类-菌菇,菌菇藻类,菌菇,exact,发菜（干）［仙菜］,100,11.1,259,1081,20.2,0.5,60.8,35.0,0,7.4,—,—,0,0.15,0.54,0.90,6.0,0.07,1048,76,217,100.7,129,85.2,1.68,5.23,0.93,3.29,发菜,,,,,,,v2_strict_rule,core
426,9,37,1,烤麸,8,豆类-杂豆,豆类,杂豆,excluded_processed_source,烤麸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,烤麸,,,,,,,v2_strict_rule,common
427,9,37,1,花豆,8,豆类-杂豆,豆类,杂豆,exact,花豆（干，红）,100,14.8,328,1372,19.1,1.3,62.7,5.5,0,2.1,36,430,0,0.25,—,3.00,—,6.13,38,48,358,12.5,17,0.3,1.27,19.05,0.94,1.22,花豆,,,,,,,v2_strict_rule,core
428,10,42,1,薏仁米,8,谷物/坚果-杂粮,谷物/坚果,杂粮,exact,薏米［薏仁米，苡米］,100,11.2,361,1512,12.8,3.3,71.1,2.0,0,1.6,—,—,0,0.22,0.15,2.00,0,2.08,42,217,238,3.6,88,3.6,1.68,3.07,0.29,1.37,薏仁米,,,,,,,v2_strict_rule,core
429,1,3,1,佛手瓜,7,蔬菜-瓜果,蔬菜,瓜果,exact,佛手瓜［棒瓜，菜肴梨］,100,94.3,18,77,1.2,0.1,3.8,1.2,0,0.6,2,20,0,0.01,0.10,0.10,8.0,—,17,18,76,1.0,10,0.1,0.08,1.45,0.02,0.03,佛手瓜,,1.适合所有人食用，老少皆宜。是心脏病、高血压病患者的保健蔬菜。2.心血管疾病患者和儿童可以经常吃佛手瓜。3.同时还适宜于消化不良、胸闷气胀、呕吐、肝胃气痛(含慢性胃炎、神经性胃炎)、传染性肝炎、舌苔厚腻以及气管炎咳嗽多痰者食用。,佛手瓜属于温性食物，所以凡属阴虚体热和体质虚弱的人应少食。,,,,v2_strict_rule,core
430,1,6,1,槟榔芋,7,蔬菜-其他蔬菜,蔬菜,其他蔬菜,exact,槟榔芋（鲜）,87,76.4,90,374,3.0,0.1,19.7,1.1,0,0.8,—,—,0,0.03,0.04,0.30,6.0,—,45,33,—,—,25,1.4,—,1.92,0.02,—,槟榔芋,,,,,,,v2_strict_rule,core
431,1,1,1,甘蓝菜,7,蔬菜-叶菜,蔬菜,叶菜,exact,芥蓝［甘蓝菜、盖蓝菜］,98,91.0,24,98,3.1,0.3,4.1,—,0,1.5,—,—,0,0.03,0.12,0.68,37.0,Tr,121,52,345,40.2,40,1.0,0.40,0.39,0.03,0.31,,,,,,,,v2_strict_rule,core
432,1,2,1,红皮萝卜,7,蔬菜-根茎,蔬菜,根茎,exact,卞萝卜［红皮萝卜］,96,94.2,18,74,0.8,0.1,4.2,1.1,0,0.7,Tr,Tr,0,0.01,0.02,0.22,5.6,Tr,39,27,16,111.2,24,0.3,0.23,0.27,0.02,0.04,,,,,,,,v2_strict_rule,core
433,1,5,1,豌豆苗,7,蔬菜-鲜豆,蔬菜,鲜豆,exact,豌豆苗,100,91.2,32,132,4.8,0.8,2.6,—,0,0.6,28,333,0,0.11,0.16,0.49,8.0,0.10,15,60,145,20.9,14,0.5,0.42,0.56,0.07,0.08,豌豆苗,,一般人群均可食用。,一般人群均可食用。,,,,v2_strict_rule,core
434,1,3,1,金瓜,7,蔬菜-瓜果,蔬菜,瓜果,exact,金瓜,82,95.6,15,63,0.5,0.1,3.4,0.7,0,0.4,5,60,0,0.02,0.02,0.60,2.0,0.43,17,10,152,0.9,8,0.9,0.17,0.28,0.04,Tr,金瓜,,,,,,,v2_strict_rule,core
435,1,1,1,金针菜,7,蔬菜-叶菜,蔬菜,叶菜,exact,金针菜（鲜）［黄花菜］,98,40.3,214,897,19.4,1.4,34.9,7.7,0,4.0,153,1840,0,0.05,0.21,3.10,10.0,4.92,301,216,610,59.2,85,8.1,3.99,4.22,0.37,1.21,金针菜,,,,,,,v2_strict_rule,core
