alias_name,catalog_ingredient_id,canonical_name,usage_count,source
______鱼香汁调制,734,______鱼香汁调制,1,dish_ingredients.raw_name
_干辣椒,735,_干辣椒,1,dish_ingredients.raw_name
·淀粉,736,·淀粉,1,dish_ingredients.raw_name
¼个包菜,737,¼个包菜,1,dish_ingredients.raw_name
¼个洋葱切丝,738,¼个洋葱切丝,1,dish_ingredients.raw_name
¼个荔浦芋头,739,¼个荔浦芋头,1,dish_ingredients.raw_name
¼勺鸡精,740,¼勺鸡精,1,dish_ingredients.raw_name
¼根胡萝卜,741,¼根胡萝卜,1,dish_ingredients.raw_name
¼根葱,742,¼根葱,1,dish_ingredients.raw_name
¼根黄瓜,743,¼根黄瓜,1,dish_ingredients.raw_name
¼颗辣白菜,744,¼颗辣白菜,1,dish_ingredients.raw_name
½~盐,745,½~盐,1,dish_ingredients.raw_name
½勺料酒,746,½勺料酒,1,dish_ingredients.raw_name
½根小葱,747,½根小葱,1,dish_ingredients.raw_name
½根芹菜,748,½根芹菜,1,dish_ingredients.raw_name
½根葱,749,½根葱,1,dish_ingredients.raw_name
½瓷勺酱油,750,½瓷勺酱油,1,dish_ingredients.raw_name
–生抽,751,–生抽,1,dish_ingredients.raw_name
–盐,752,–盐,1,dish_ingredients.raw_name
–鸡蛋,753,–鸡蛋,1,dish_ingredients.raw_name
―盐,754,―盐,1,dish_ingredients.raw_name
“勺”是指家家都陶瓷汤勺,755,“勺”是指家家都陶瓷汤勺,1,dish_ingredients.raw_name
“回锅肉”量,756,“回锅肉”量,1,dish_ingredients.raw_name
“太太乐”“酱大师”豆豉酱,757,“太太乐”“酱大师”豆豉酱,1,dish_ingredients.raw_name
“太太乐”美美椒调味料,758,“太太乐”美美椒调味料,1,dish_ingredients.raw_name
“太太乐”芝麻香油,759,“太太乐”芝麻香油,1,dish_ingredients.raw_name
“太太乐”酱油,760,“太太乐”酱油,1,dish_ingredients.raw_name
“太太乐”鲜鸡汁调味料,761,“太太乐”鲜鸡汁调味料,1,dish_ingredients.raw_name
“太太乐”鸡精调味料,762,“太太乐”鸡精调味料,1,dish_ingredients.raw_name
“太太乐原味鲜”小炒鲜酱油,763,“太太乐原味鲜”小炒鲜酱油,1,dish_ingredients.raw_name
“太太乐原味鲜”特级红烧酱油,764,“太太乐原味鲜”特级红烧酱油,2,dish_ingredients.raw_name
……勺子指是一般家炒菜勺接下来是调料哦,765,……勺子指是一般家炒菜勺接下来是调料哦,1,dish_ingredients.raw_name
⃣️个八角,766,⃣️个八角,1,dish_ingredients.raw_name
⃣️勺生抽,767,⃣️勺生抽,1,dish_ingredients.raw_name
⃣️条鱼,768,⃣️条鱼,1,dish_ingredients.raw_name
⃣️根葱,769,⃣️根葱,1,dish_ingredients.raw_name
→去皮净重马蹄,770,→去皮净重马蹄,1,dish_ingredients.raw_name
↔鸭胸肉,771,↔鸭胸肉,1,dish_ingredients.raw_name
∨料汁,772,∨料汁,1,dish_ingredients.raw_name
∨鱼香料,773,∨鱼香料,1,dish_ingredients.raw_name
⑦瓣蒜,774,⑦瓣蒜,1,dish_ingredients.raw_name
●味醂,775,●味醂,1,dish_ingredients.raw_name
●水,776,●水,1,dish_ingredients.raw_name
●砂糖,777,●砂糖,1,dish_ingredients.raw_name
●酒,778,●酒,1,dish_ingredients.raw_name
●高汤,779,●高汤,1,dish_ingredients.raw_name
➕白糖,780,➕白糖,1,dish_ingredients.raw_name
⬇️佐料,781,⬇️佐料,1,dish_ingredients.raw_name
⬇️食材,782,⬇️食材,1,dish_ingredients.raw_name
⭐难度,783,⭐难度,1,dish_ingredients.raw_name
⭐️勾芡⭐️,784,⭐️勾芡⭐️,1,dish_ingredients.raw_name
