id,name,usage_count,reason
247,其他水果,29,不属于指南允许的基础原生食材类别
248,燕麦奶,29,饮料、酒类或乳制品不属于本版核心原生食材
249,豆渣,29,成品、半成品或加工食品
250,奶茶,29,饮料、酒类或乳制品不属于本版核心原生食材
251,克水,29,不属于指南允许的基础原生食材类别
252,亚麻籽,29,不属于指南允许的基础原生食材类别
253,油条,29,成品、半成品或加工食品
254,帕玛森奶酪,29,烘焙或乳制加工食品
255,熟玉米,29,成品、半成品或加工食品
256,柴鱼,29,成品、半成品或加工食品
257,白米饭,28,成品、半成品或加工食品
258,广式腊肠,28,成品、半成品或加工食品
259,电动打蛋器,28,工具、包装或操作说明
260,各种丸子,28,成品、半成品或加工食品
261,提子干,28,不属于指南允许的基础原生食材类别
262,蟹柳,28,成品、半成品或加工食品
263,西瓜皮,28,不属于指南允许的基础原生食材类别
264,即食麦片,28,成品、半成品或加工食品
265,熟糯米粉,28,成品、半成品或加工食品
266,春卷皮,28,不属于指南允许的基础原生食材类别
267,饼皮,28,不属于指南允许的基础原生食材类别
268,红茶叶,28,饮料、酒类或乳制品不属于本版核心原生食材
269,青口,27,不属于指南允许的基础原生食材类别
270,浓稠酸奶,27,饮料、酒类或乳制品不属于本版核心原生食材
271,巴旦木,27,不属于指南允许的基础原生食材类别
272,饮料,27,饮料、酒类或乳制品不属于本版核心原生食材
273,就行水,27,不属于指南允许的基础原生食材类别
274,咖啡豆,27,饮料、酒类或乳制品不属于本版核心原生食材
275,吉士粉,27,不属于指南允许的基础原生食材类别
276,香草膏,27,成品、半成品或加工食品
277,烧烤粉,27,不属于指南允许的基础原生食材类别
278,饺子馅,27,成品、半成品或加工食品
279,调味粉,27,不属于指南允许的基础原生食材类别
280,火腿肉,27,加工肉制品
281,干豆腐,27,豆制品或淀粉制品（严格模式排除）
282,油辣子,26,不属于指南允许的基础原生食材类别
283,脆皮肠,26,成品、半成品或加工食品
284,面筋,26,成品、半成品或加工食品
285,内脂豆腐,26,豆制品或淀粉制品（严格模式排除）
286,苏打饼干,26,烘焙或乳制加工食品
287,澄粉,26,不属于指南允许的基础原生食材类别
288,各种食材,26,不属于指南允许的基础原生食材类别
289,炸粉,26,不属于指南允许的基础原生食材类别
290,豆腐泡,26,豆制品或淀粉制品（严格模式排除）
291,河粉,26,成品、半成品或加工食品
292,黄芪,26,不属于指南允许的基础原生食材类别
293,饼底,26,不属于指南允许的基础原生食材类别
294,红肠,26,成品、半成品或加工食品
295,碧根果,26,不属于指南允许的基础原生食材类别
296,西洋参,26,不属于指南允许的基础原生食材类别
297,艾草,26,不属于指南允许的基础原生食材类别
298,剩饭,25,不属于指南允许的基础原生食材类别
299,火锅丸子,25,成品、半成品或加工食品
300,冬菜,25,成品、半成品或加工食品
301,糙米饭,25,成品、半成品或加工食品
302,水牛奶,25,饮料、酒类或乳制品不属于本版核心原生食材
303,果蔬粉,25,不属于指南允许的基础原生食材类别
304,油面筋,25,成品、半成品或加工食品
305,黑橄榄,25,不属于指南允许的基础原生食材类别
306,醪糟,25,不属于指南允许的基础原生食材类别
307,其他食材,25,不属于指南允许的基础原生食材类别
308,千叶豆腐,25,豆制品或淀粉制品（严格模式排除）
309,馄饨,25,成品、半成品或加工食品
310,玉米罐头,25,成品、半成品或加工食品
311,冰激凌,25,不属于指南允许的基础原生食材类别
312,雪糕,25,成品、半成品或加工食品
313,芝士年糕,25,烘焙或乳制加工食品
314,玻璃罐,25,不属于指南允许的基础原生食材类别
315,欧包,25,不属于指南允许的基础原生食材类别
316,咸鸭蛋,25,成品、半成品或加工食品
