dish_id,ingredient_id,source_ingredient_id,match_type
2543,156,156,direct
2548,2,2,direct
2548,6,6,direct
2548,41,41,direct
2548,60,60,direct
2548,294,294,direct
2548,590,41,ancestor
2552,2,2,direct
2552,12,12,direct
2552,26,26,direct
2552,185,185,direct
2560,2,2,direct
2560,8,8,direct
2560,11,11,direct
2560,18,18,direct
2578,1,1,direct
2578,3,3,direct
2578,126,126,direct
2617,1,1,direct
2617,2,2,direct
2633,2,2,direct
2633,6,6,direct
2633,69,69,direct
2644,1,1,direct
2644,2,2,direct
2644,3,3,direct
2644,164,164,direct
2644,391,391,direct
2665,2,2,direct
2665,3,3,direct
2674,6,6,direct
2674,20,20,direct
2681,1,1,direct
2681,11,11,direct
2681,126,126,direct
2681,164,164,direct
2752,109,109,direct
2755,1,1,split
2755,2,2,split
2755,3,3,split
2755,129,129,direct
2762,3,3,direct
2779,1,1,split
2779,2,2,split
2779,3,3,split
2779,4,10,ancestor
2779,7,7,direct
2779,10,10,direct
2795,2,2,direct
2795,3,3,direct
2795,52,52,direct
2795,357,357,direct
2815,1,1,direct
2815,3,3,direct
2815,24,24,direct
2815,93,93,direct
2859,134,134,direct
2859,590,590,direct
2860,1,1,direct
2860,4,10,ancestor
2860,6,6,direct
2860,10,10,direct
2860,221,221,direct
2897,1,1,direct
2897,2,2,direct
2897,3,3,direct
2897,4,10,ancestor
2897,10,10,direct
2897,17,17,direct
2897,123,123,direct
2919,2,2,direct
2948,1,1,split
2948,2,2,split
2948,3,3,split
2948,8,152,ancestor
2948,11,11,direct
2948,115,115,direct
2948,152,152,direct
2948,423,423,direct
2978,3,3,direct
2978,8,152,ancestor
2978,27,27,direct
2978,152,152,direct
2984,3,3,direct
2984,6,6,direct
2984,7,7,direct
2984,19,19,direct
2984,590,590,direct
3011,2,2,direct
3011,4,10,ancestor
3011,10,10,direct
3011,130,130,direct
3025,1,1,direct
3025,178,178,direct
3034,1,1,direct
3034,3,3,direct
3036,2,2,direct
3036,11,11,direct
3036,19,19,direct
3036,26,26,direct
3036,44,44,direct
3064,2,2,direct
3064,70,70,direct
3071,4,4,direct
3071,41,41,direct
3071,590,41,ancestor
3081,2,2,direct
3081,257,257,direct
3095,11,11,direct
3095,12,12,direct
3095,23,23,direct
3095,24,589,ancestor
3095,589,589,direct
3138,1,1,direct
3138,3,3,direct
3138,129,129,direct
3210,3,3,direct
3210,17,17,direct
3212,1,1,direct
3212,309,309,direct
3218,1,1,direct
